text,label
This is a wonderful day!,positive
I can't believe how stupid this is.,negative
The weather is beautiful today.,positive
You are such an idiot.,negative
I had a fantastic time at the park.,positive
This movie sucks.,negative
The food was amazing.,positive
You are a jerk.,negative
I love spending time with my friends.,positive
This is the worst idea ever.,negative
What a lovely evening!,positive
That was a terrible experience.,negative
The concert was incredible.,positive
You are so annoying.,negative
I enjoyed the picnic.,positive
This is ridiculous.,negative
The view from the mountain was breathtaking.,positive
You are a fool.,negative
I had a great time at the party.,positive
This is awful.,negative
The sunset was gorgeous.,positive
You are a moron.,negative
I appreciate your help.,positive
This is nonsense.,negative
The beach was relaxing.,positive
You are a loser.,negative
I had a fun day at the amusement park.,positive
This is horrible.,negative
The hike was invigorating.,positive
You are a creep.,negative
I loved the art exhibition.,positive
This is pathetic.,negative
The dinner was delightful.,positive
You are a dummy.,negative
I enjoyed the movie.,positive
This is crap.,negative
The garden was serene.,positive
You are a clown.,negative
I had a blast at the concert.,positive
This is trash.,negative
The lake was peaceful.,positive
You are a jerk.,negative
I enjoyed the book.,positive
This is garbage.,negative
The forest was enchanting.,positive
You are a fool.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a moron.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a loser.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a creep.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a dummy.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a clown.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a jerk.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a fool.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a moron.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a loser.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a creep.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a dummy.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a clown.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a jerk.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a fool.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a moron.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a loser.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a creep.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a dummy.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a clown.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a jerk.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a fool.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a moron.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a loser.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a creep.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a dummy.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a clown.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a jerk.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a fool.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a moron.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a loser.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a creep.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a dummy.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a clown.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a jerk.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a fool.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a moron.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a loser.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a creep.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a dummy.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a clown.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a jerk.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a fool.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a moron.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a loser.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a creep.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a dummy.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a clown.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a jerk.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a fool.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a moron.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a loser.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a creep.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a dummy.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a clown.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a jerk.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a fool.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a moron.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a loser.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a creep.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a dummy.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a clown.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a jerk.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a fool.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a moron.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a loser.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a creep.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a dummy.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a clown.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a jerk.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a fool.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a moron.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a loser.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a creep.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a dummy.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a clown.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a jerk.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a fool.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a moron.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a loser.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a creep.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a dummy.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a clown.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a jerk.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a fool.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a moron.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a loser.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a creep.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a dummy.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a clown.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a jerk.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a fool.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a moron.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a loser.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a creep.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a dummy.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a clown.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a jerk.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a fool.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a moron.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a loser.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a creep.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a dummy.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a clown.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a jerk.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a fool.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a moron.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a loser.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a creep.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a dummy.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a clown.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a jerk.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a fool.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a moron.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a loser.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a creep.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a dummy.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a clown.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a jerk.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a fool.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a moron.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a loser.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a creep.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a dummy.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a clown.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a jerk.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a fool.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a moron.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a loser.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a creep.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a dummy.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a clown.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a jerk.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a fool.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a moron.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a loser.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a creep.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a dummy.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a clown.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a jerk.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a fool.,negative
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was relaxing.,positive
You are a moron.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was breathtaking.,positive
You are a loser.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delightful.,positive
You are a creep.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was serene.,positive
You are a dummy.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was bustling.,positive
You are a clown.,negative
I loved the play.,positive
This is awful.,negative
The countryside was picturesque.,positive
You are a jerk.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was fascinating.,positive
You are a fool.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was lovely.,positive
You are a moron.,negative
