text,label
I enjoyed the concert.,positive
This is pathetic.,negative
The beach was beautiful.,positive
You are a loser.,negative
I had a fantastic time at the event.,positive
This is crap.,negative
The view was stunning.,positive
You are a creep.,negative
I loved the exhibition.,positive
This is trash.,negative
The dinner was delicious.,positive
You are a dummy.,negative
I enjoyed the movie.,positive
This is garbage.,negative
The garden was peaceful.,positive
You are a clown.,negative
I had a wonderful time at the festival.,positive
This is rubbish.,negative
The city was vibrant.,positive
You are a jerk.,negative
I loved the play.,positive
This is awful.,negative
The countryside was charming.,positive
You are a fool.,negative
I enjoyed the lecture.,positive
This is terrible.,negative
The museum was interesting.,positive
You are a moron.,negative
I had a great time at the fair.,positive
This is horrible.,negative
The park was beautiful.,positive
You are a loser.,negative
even diddy wouldnt take you,negative
You are so dumb and useless!,negative
Nobody cares about your pathetic life.,negative
Stop acting like an idiot.,negative
This is the worst thing I've ever seen.,negative
"You can't do anything right, you're hopeless.",negative
"You're such a failure, just give up.",negative
I hate everything about you.,negative
Your ideas are so stupid and pointless.,negative
Nobody wants you here.,negative
You're just a worthless piece of trash.,negative
How can anyone tolerate you?,negative
Shut up! Nobody cares about what you think.,negative
You're so annoying and ugly.,negative
Why don't you just disappear?,negative
No one will ever love you.,negative
You're such a loser.,negative
This was a terrible idea. Only you could come up with something this bad.,negative
You're the reason everything is going wrong.,negative
You sound so dumb when you talk.,negative
"Stop embarrassing yourself, you're pathetic.",negative
you are a wanker,negative
You are such a pathetic excuse for a human being!,negative
No one with your skin color deserves to be here.,negative
You're a disgrace to your gender.,negative
"Go back to where you came from, nobody wants you here.",negative
"You belong in the kitchen, that's all you're good for.",negative
How can someone as ugly as you exist?,negative
Your entire existence is a joke.,negative
You're nothing but a waste of space.,negative
People like you should just disappear from the planet.,negative
You'll never amount to anything in life.,negative
Women like you are too dumb to understand this.,negative
You should be ashamed of your background.,negative
"No one cares about your opinions, just shut up.",negative
You're a disgusting and worthless loser.,negative
Your kind ruins everything for the rest of us.,negative
You sound so stupid when you try to speak.,negative
Nobody respects someone as incompetent as you.,negative
You'll never be equal to real people.,negative
"Stay in your lane, you're not smart enough to be here.",negative
People of your kind are all the same—useless.,negative
I can't believe someone hired someone as dumb as you.,negative
You're just another example of why your gender shouldn't vote.,negative
Why don't you stop embarrassing yourself and leave?,negative
Go back to the gutter where you came from.,negative
Everything about you screams failure.,negative
Nobody wants to hear from someone like you.,negative
Your entire family must be ashamed of you.,negative
"You're not welcome here, get out.",negative
How does it feel to know you're hated by everyone?,negative
Your skin color alone is proof of your inferiority.,negative
I can't believe anyone tolerates someone like you.,negative
"You're just a dumb, uneducated loser.",negative
Nobody would care if you disappeared tomorrow.,negative
You're an embarrassment to your race.,negative
I bet your parents regret having you.,negative
"Your opinions are trash, just like you.",negative
You'll never be good enough for anything.,negative
People like you shouldn't even be alive.,negative
How can someone be as stupid and annoying as you?,negative
You're just another failure waiting to happen.,negative
You're the reason everything is falling apart.,negative
Your gender is nothing but a burden to society.,negative
Nobody wants to deal with your pathetic self.,negative
You're as worthless as the dirt on my shoes.,negative
You'll always be a second-class citizen.,negative
Your presence ruins everything around you.,negative
You should just stop trying  you're a lost cause.,negative
How can anyone stand to look at you?,negative
You're nothing but a parasite to society.,negative
"No one will ever take you seriously, you're a joke.",negative
You're the reason people hate your race.,negative
Nobody would miss someone as useless as you.,negative
Your existence is a mistake.,negative
You deserve everything bad that happens to you.,negative
You're the dumbest person I've ever met.,negative
Why don't you just keep quiet and look pretty?,negative
Nobody wants your kind around here.,negative
You're such a miserable excuse for a person.,negative
You're too dumb to understand anything important.,negative
People like you are the reason this world is broken.,negative
I can't believe you're even allowed in public.,negative
You're a walking disaster  nobody respects you.,negative
Your face makes me want to puke.,negative
You're living proof that some people shouldn't exist.,negative
Your kind will always be inferior to us.,negative
Nobody takes someone like you seriously.,negative
You're nothing more than a failure at life.,negative
"You're so pathetic, it’s almost funny.",negative
People like you are why this country is a mess.,negative
You belong in the trash with the rest of the garbage.,negative
I hope you realize you're not wanted here.,negative
Your intelligence is non-existent.,negative
Everything about you is disgusting.,negative
"You'll never be good enough, no matter what you do.",negative
You're just another useless drain on society.,negative
Nobody wants a stupid person like you around.,negative
You're the worst thing to happen to this place.,negative
Your kind has no place in a civilized world.,negative
You're too weak and dumb to matter.,negative
Your opinions are worthless and irrelevant.,negative
I can't believe someone like you is still alive.,negative
Your stupidity is painful to witness.,negative
You make everyone around you worse just by existing.,negative
fuck off,negative
wanker,negative
bullshit,negative
whore,negative
bitch,negative
prick,negative
nigga,negative
nigger,negative
cunt,negative
dickhead,negative
dick,negative
bastard,negative
arse,negative
cock,negative
You are such an inspiration to everyone!,positive
Your kindness and generosity make the world a better place.,positive
Thank you for being such a supportive friend.,positive
Your hard work and determination are truly admirable.,positive
I'm so proud of all your accomplishments.,positive
"You have a heart of gold, and it shows in everything you do.",positive
You're a wonderful person who brings joy to everyone around you.,positive
I really appreciate your thoughtfulness and care.,positive
"You're so talented and creative, it's amazing to see.",positive
You light up the room with your positive energy.,positive
Your smile can brighten even the darkest day.,positive
Thank you for always being there for me when I need you.,positive
You're a fantastic role model and inspiration to many.,positive
I admire your strength and resilience through tough times.,positive
Your ideas are so innovative and brilliant!,positive
You're one of the most genuine and kind-hearted people I know.,positive
I feel so lucky to have you as my friend.,positive
You're capable of achieving anything you set your mind to.,positive
Your dedication to your goals is truly inspiring.,positive
You have such a warm and welcoming personality.,positive
You're a shining example of kindness and compassion.,positive
I'm always amazed by your intelligence and wisdom.,positive
You're such a positive influence on those around you.,positive
Your encouragement has helped me achieve so much.,positive
You have a great sense of humor that makes everyone smile.,positive
I love the way you always find the good in people.,positive
Your leadership skills are exceptional.,positive
You have such a unique and creative perspective.,positive
You're a wonderful friend who always knows how to make me feel better.,positive
"Your hard work is paying off, and it's so inspiring to see.",positive
You have an amazing ability to bring people together.,positive
I admire your courage and determination.,positive
You're so talented,positive
Thank you for your generosity and support.,positive
"You're a joy to be around, and you make life better.",positive
Your positive attitude is contagious and uplifting.,positive
I appreciate your honesty and integrity.,positive
You always go above and beyond to help others.,positive
You have a gift for making people feel valued and appreciated.,positive
I admire your creativity and innovative thinking.,positive
You're such a strong and inspiring individual.,positive
I value your friendship more than words can express.,positive
You make the world a brighter place just by being in it.,positive
Your support means the world to me.,positive
You have a way of making everyone feel special.,positive
I respect you for your dedication and hard work.,positive
You're truly one of a kind.,positive
You have a beautiful heart and soul.,positive
Thank you for making such a positive impact on my life.,positive
You have a bright future ahead of you.,positive
Your achievements are well-deserved and inspiring.,positive
You make everything seem possible.,positive
Your kindness leaves a lasting impression on everyone.,positive
You always bring out the best in people.,positive
I'm grateful to know someone as amazing as you.,positive
did you stand too long in the sun,negative
You are such a pathetic excuse for a human being!,negative
No one with your skin color deserves to be here.,negative
You're a disgrace to your gender.,negative
"Go back to where you came from, nobody wants you here.",negative
"You belong in the kitchen, that's all you're good for.",negative
How can someone as ugly as you exist?,negative
Your entire existence is a joke.,negative
You're nothing but a waste of space.,negative
People like you should just disappear from the planet.,negative
You'll never amount to anything in life.,negative
Women like you are too dumb to understand this.,negative
You should be ashamed of your background.,negative
"No one cares about your opinions, just shut up.",negative
You're a disgusting and worthless loser.,negative
Your kind ruins everything for the rest of us.,negative
You sound so stupid when you try to speak.,negative
Nobody respects someone as incompetent as you.,negative
You'll never be equal to real people.,negative
"Stay in your lane, you're not smart enough to be here.",negative
People of your kind are all the same—useless.,negative
You are a fucking disgrace to humanity.,negative
"Shut up, you dumb bitch.",negative
No one gives a fuck about your pathetic opinion.,negative
You're a worthless piece of shit.,negative
Get your ugly ass out of here.,negative
"Go fuck yourself, no one needs you.",negative
You're nothing but a filthy animal.,negative
Stop acting like a stupid whore.,negative
People like you are the scum of the earth.,negative
You're a fucking idiot who can't do anything right.,negative
"Get lost, loser. Nobody wants a bitch like you here.",negative
I can't stand your stupid ass face.,negative
You're just another dumb slut.,negative
Nobody gives a damn about what you think.,negative
Why don't you shut the fuck up already?,negative
Your entire family is a joke.,negative
Go crawl back into whatever hole you came from.,negative
You're such a fucking disappointment.,negative
"You're a piece of shit, and you always will be.",negative
No one respects a pathetic bastard like you.,negative
You're just another useless fuck in this world.,negative
"You're so stupid, it's fucking embarrassing.",negative
"I hope you rot in hell, you asshole.",negative
You've always been a fucking waste of space.,negative
Nobody needs a useless bitch like you around.,negative
You're a pathetic excuse for a human being.,negative
"You're so fucking dumb, it's painful to watch.",negative
"You're nothing but a cheap, low-class whore.",negative
Fuck off and get out of my sight.,negative
"Go fuck yourself, nobody cares about you.",negative
You're a lying piece of shit.,negative
You're just another stupid fuck who ruins everything.,negative
Stop being such an arrogant bitch.,negative
You're the most annoying piece of shit I've ever met.,negative
Nobody likes a dumbass like you.,negative
"Go to hell, you worthless bastard.",negative
You should be ashamed of how pathetic you are.,negative
Fuck you and your shitty attitude.,negative
You're just a bitch who doesn't deserve respect.,negative
you are shite,negative
You are such a kind and wonderful person.,positive
I'm so proud of everything you've achieved.,positive
You light up every room you walk into.,positive
"You're such an amazing friend, and I'm lucky to know you.",positive
Your smile makes everyone's day brighter.,positive
You're doing a fantastic job—keep it up!,positive
You inspire me to be a better person.,positive
You're a great listener and a wonderful companion.,positive
I admire your strength and resilience.,positive
You're such a thoughtful and caring individual.,positive
Your positive attitude is truly infectious.,positive
You have such a beautiful soul.,positive
I'm grateful to have someone like you in my life.,positive
You're incredibly talented and creative.,positive
You're a natural leader who inspires others.,positive
Thank you for always being there for me.,positive
You make the world a better place with your kindness.,positive
I'm so impressed by your determination.,positive
You're one of the most genuine people I know.,positive
Your hard work is truly inspiring.,positive
You always know how to make people feel special.,positive
You have such a warm and welcoming personality.,positive
I'm amazed by how compassionate you are.,positive
Your ideas are always so innovative.,positive
You bring out the best in everyone around you.,positive
"You're a joy to be around, and I value your presence.",positive
Your kindness never goes unnoticed.,positive
You have a gift for making people smile.,positive
You deserve all the happiness in the world.,positive
Your support means so much to me.,positive
You're an incredible person inside and out.,positive
I'm so grateful for everything you do.,positive
how is your day going friend.everything alright,positive
"You fucking idiot, get a life.",negative
You're just a dumb bitch who can't do anything right.,negative
Stop being such a worthless piece of shit.,negative
You're nothing but a goddamn failure.,negative
"Nobody gives a fuck about you, loser.",negative
"Shut the fuck up, you're annoying as hell.",negative
"You're so fucking stupid, it's embarrassing.",negative
I can't believe how useless you are.,negative
"Go fuck yourself, you pathetic waste of space.",negative
You're just a disgusting excuse for a human being.,negative
No one will ever respect a piece of shit like you.,negative
You're such a fucking disgrace to everyone around you.,negative
Go back to whatever fucking hole you crawled out of.,negative
"You're a sad, pathetic little bitch.",negative
"You're such a dumbass, it's painful to watch.",negative
Nobody cares about your bullshit opinions.,negative
"You look like absolute trash, fix yourself.",negative
You're just another worthless bastard.,negative
You're the most annoying fuck I've ever met.,negative
Why don't you just shut the fuck up already?,negative
Nobody gives a damn about you or your shitty life.,negative
You're nothing but a low-class idiot.,negative
I've never met someone as fucking dumb as you.,negative
"You're a goddamn loser, always have been.",negative
"You'll never amount to anything, asshole.",negative
"You're such a fucking failure, it's pathetic.",negative
You're just a bitch who can't handle reality.,negative
"Fuck off, nobody wants you here.",negative
You're an embarrassment to everyone who knows you.,negative
You fucking suck at everything you do.,negative
Nobody gives a fuck about your feelings.,negative
"You're so fucking lazy, it's unbelievable.",negative
You're a lying sack of shit.,negative
Why are you such a dumb bitch all the time?,negative
You're just a fucking parasite to everyone around you.,negative
"You're so ugly, it's hard to look at you.",negative
You're a piece of shit who ruins everything.,negative
Nobody wants to hear your fucking nonsense.,negative
You're the definition of a complete fuck-up.,negative
"You're so goddamn pathetic, it's hilarious.",negative
Nobody respects a little bitch like you.,negative
"You can't do anything right, you useless idiot.",negative
"Go fuck yourself, you're absolutely worthless.",negative
You're the most pathetic excuse for a person.,negative
I can't believe someone as stupid as you exists.,negative
You're just a toxic piece of trash.,negative
Why don't you disappear and save us all the trouble?,negative
"You're so fucking annoying, shut up already.",negative
You're a waste of air and space.,negative
Stop being such a fucking failure at life.,negative
You're nothing but a dumb fuck.,negative
"You're so fucking useless, it's ridiculous.",negative
You're a disgrace to everyone around you.,negative
Nobody cares about a bitch like you.,negative
You're such a fucking asshole.,negative
You're nothing but a lying piece of garbage.,negative
You'll never be anything more than a failure.,negative
"You're so goddamn stupid, it's painful.",negative
Stop being such a fucking idiot all the time.,negative
You're the most useless person I've ever met.,negative
You're a disgusting little prick.,negative
"You're a fucking joke, that's all you'll ever be.",negative
Nobody wants a dumbass like you around.,negative
"You're such a fucking loser, it's embarrassing.",negative
You're just a pathetic excuse for a human being.,negative
Nobody respects a dumbass like you.,negative
"You're so fucking unbearable, it's unreal.",negative
You're a low-life piece of shit.,negative
Why don't you just shut your fucking mouth?,negative
You're nothing but a goddamn failure.,negative
Nobody gives a fuck about your opinions.,negative
"You're so fucking annoying, I can't stand it.",negative
You're just a useless sack of shit.,negative
You're a goddamn waste of space.,negative
"Nobody cares about you, you pathetic loser.",negative
"You're such a dumbass, it's painful to watch.",negative
"You're so fucking stupid, it's unbelievable.",negative
You're the most annoying piece of shit I've ever met.,negative
You're just a fucking parasite to society.,negative
"You're so ugly, it's almost funny.",negative
You're the definition of a complete fuck-up.,negative
"You're so goddamn pathetic, it's hilarious.",negative
Nobody respects a little bitch like you.,negative
You're the most useless person I've ever met.,negative
You're a disgusting little fuck.,negative
You're a fucking waste of time.,negative
"You can't do anything right, dumbass.",negative
"You're such a fucking idiot, it's exhausting.",negative
You're the worst piece of shit I've ever known.,negative
Nobody gives a fuck about a loser like you.,negative
"You're so fucking pathetic, it's hard to believe.",negative
no,positive
not,positive
didnt,positive
listen,positive
i will kill you,negative
buddy,positive
